"2014.1","邵亦波,王华东",http://itjuzi.com/investfirm/7,凹凸共享租车,汽车交通,a,1000万美元,经纬中国
"2014.1",,http://itjuzi.com/investfirm/7,e代驾,汽车交通,c,2500万美元,经纬中国
"2014.1",,http://itjuzi.com/investfirm/7,橘子娱乐/槽厂,多媒体娱乐,angel,1000万人民币,经纬中国
"2014.9",,http://itjuzi.com/investfirm/7,永洪科技,企业服务,a,1000万人民币,经纬中国
"2014.9",,http://itjuzi.com/investfirm/7,游谱旅行网,旅游户外,angel,数百万人民币,经纬中国
"2014.9",,http://itjuzi.com/investfirm/7,租租车,汽车交通,a,1000万美元,经纬中国
"2014.9",,http://itjuzi.com/investfirm/7,酷动社区/动享网络,SNS社交网络,angel,500万人民币,经纬中国
"2014.9",,http://itjuzi.com/investfirm/7,积木盒子,金融服务,b,3719万美元,经纬中国
"2014.8",,http://itjuzi.com/investfirm/7,美甲帮/牧云网络,消费生活,a,数百万美元,经纬中国
"2014.8",,http://itjuzi.com/investfirm/7,Sobug白帽众测,企业服务,angel,数百万人民币,经纬中国
"2014.8",钱坤,http://itjuzi.com/investfirm/7,阜鼎保理/阜鼎汇通商业保理,金融服务,a,数千万人民币,经纬中国
"2014.8",,http://itjuzi.com/investfirm/7,爱图购/in/九言科技,电子商务,b,数百万美元,经纬中国
"2014.8",,http://itjuzi.com/investfirm/7,机智云/杰升科技XPG,电子硬件,a,数百万美元,经纬中国
"2014.8",毛圣博,http://itjuzi.com/investfirm/7,七牛云存储,企业服务,c,数千万美元,经纬中国
"2014.7",,http://itjuzi.com/investfirm/7,蜜淘网/背篓科技,电子商务,a,500万美元,经纬中国
"2014.9",,http://itjuzi.com/investfirm/8,极客学院,教育培训,b,2200万美元,蓝驰创投
"2014.8",,http://itjuzi.com/investfirm/8,趣分期,金融服务,b,数千万美元,蓝驰创投
"2014.8",,http://itjuzi.com/investfirm/8,春雨掌上医生/春雨医生,医疗健康,c,5000万美元,蓝驰创投
"2014.7",,http://itjuzi.com/investfirm/8,趣分期,金融服务,a,数百万美元,蓝驰创投
